T [K]	30.000000
16.99	0.0222158911
17.98	0.0118298662
18.98	0.0290613911
19.97	0.0318517600
20.96	0.0259941373
21.96	0.0372453050
22.97	0.0295339620
23.98	0.0265446244
24.97	0.0362357295
25.96	0.0225724218
26.95	0.0265684629
27.94	0.0320310452
28.93	0.0299224241
29.90	0.0353545856
30.98	0.0329611520
31.98	0.0270260816
32.98	0.0325034172
33.98	0.0131458025
34.98	0.0229294687
35.99	0.0253693237
37.00	0.0152061485
38.01	0.0164545381
39.01	0.0032995479
40.01	0.0117310552
41.01	0.0089981820
42.01	-0.0194214555
43.01	-0.0232070866
44.02	-0.0194603622
45.02	-0.0333694252
46.02	-0.0395585088
47.02	-0.0564886862
48.02	-0.0681975760
49.02	-0.0841416248
50.02	-0.0832671271
51.02	-0.0978794547
52.02	-0.1137157914
53.02	-0.1178437802
54.03	-0.1252324232
55.03	-0.1328563797
56.03	-0.1536540841
57.03	-0.1334978945
58.03	-0.1667681451
59.03	-0.1790243285
60.03	-0.1878716692
61.03	-0.1932956039
62.03	-0.2113933855
63.03	-0.2162587615
63.96	-0.2324029473
64.96	-0.2392258454
65.96	-0.2457111280
66.96	-0.2722882558
67.95	-0.2711810984
68.95	-0.2996984011
69.94	-0.3125001239
70.94	-0.3259934557
71.94	-0.3175512671
72.94	-0.3137315143
73.93	-0.2941166391
74.93	-0.2542224070
75.92	-0.2065387034
76.93	-0.2054325243
77.93	-0.2135978694
78.92	-0.1945163936
79.92	-0.1996848289
80.92	-0.2155036462
81.92	-0.2516743276
82.92	-0.2565023676
83.91	-0.2788486107
84.91	-0.2872463873
85.91	-0.3712736629
86.90	-0.3866260659
87.90	-0.4034999649
88.90	-0.3652407760
89.90	-0.3779654321
90.91	-0.3786399183
91.90	-0.3952124005
92.91	-0.4044505732
93.91	-0.4180947528
94.91	-0.4259210303
95.90	-0.4163892560
96.90	-0.4159485563
97.90	-0.4133046908
98.90	-0.4122571970
99.90	-0.4041701653
100.90	-0.4032356916
101.91	-0.3846173724
102.91	-0.3824364650
103.91	-0.3673085379
104.91	-0.3603232307
105.90	-0.3390998136
106.90	-0.3546351196
107.91	-0.3330326414
108.90	-0.3160515085
109.90	-0.3018336996
110.90	-0.2723783339
111.90	-0.2691472319
112.91	-0.2603588452
113.90	-0.2963070482
114.91	-0.2905904136
115.90	-0.2657191417
116.90	-0.2511833346
117.90	-0.2407543291
118.90	-0.2138107931
119.90	-0.2031361552
120.91	-0.1937228139
121.91	-0.1649751381
122.90	-0.1406526369
123.90	-0.1308819531
124.91	-0.1208730759
125.91	-0.1110242671
126.91	-0.1053051468
127.92	-0.0846632590
128.93	-0.0731980323
129.93	-0.0682252681
130.92	-0.0695079281
131.91	-0.0614096070
132.91	-0.0524647057
133.91	-0.0408048166
134.91	-0.0428877416
135.90	-0.0360933729
136.90	-0.0367880956
137.90	-0.0256395371
138.90	-0.0304553957
139.90	-0.0348303996
140.91	-0.0295484306
141.91	-0.0155395920
142.90	-0.0273950899
143.91	-0.0199487707
144.90	-0.0180003266
145.90	-0.0143654938
146.90	-0.0022277938
147.91	-0.0156274658
148.91	-0.0094108777
149.90	-0.0037299954
150.90	0.0010029550
151.91	-0.0090956977
152.91	-0.0026504107
153.91	-0.0042544482
154.93	-0.0077128885
155.94	-0.0046468585
156.91	0.0020749155
157.91	-0.0020219624
158.91	0.0129833887
159.91	0.0086085351
160.90	0.0070585848
161.91	-0.0074835318
162.90	0.0042713327
163.91	0.0094988776
164.91	0.0022222021
