T [K]	30.000000
24.99	-0.9921446946
25.98	-1.0258563809
26.98	-1.0499330471
28.00	-1.0720123383
28.98	-1.1100289588
29.98	-1.1458111113
30.98	-1.1925510851
31.98	-1.2043784069
32.98	-1.2554732300
33.98	-1.2691243357
34.98	-1.3026167134
35.99	-1.3349925512
37.00	-1.3745369199
38.01	-1.4199167193
39.01	-1.4557264137
40.01	-1.4938044637
41.01	-1.5431707368
42.01	-1.5853035432
43.01	-1.6336067566
44.02	-1.6816825554
45.02	-1.7296018338
46.02	-1.7816003100
47.02	-1.8258273161
48.02	-1.8656500564
49.02	-1.9068798638
50.02	-1.9589031298
51.02	-2.0085990657
52.02	-2.0504291892
53.03	-2.0703877762
54.03	-2.0991790075
55.03	-2.1295441118
56.03	-2.1548209671
57.03	-2.1709338111
58.03	-2.1614699813
59.03	-2.1595568829
60.03	-2.1192926478
61.03	-2.0753865698
62.03	-2.0017871189
63.03	-1.9377717538
64.03	-1.8487409733
64.97	-1.7969960490
65.96	-1.7551832938
66.96	-1.7362886415
67.95	-1.7223953804
68.95	-1.7369887065
69.95	-1.7559401611
70.94	-1.7880027785
71.94	-1.7994004840
72.94	-1.8226823632
73.93	-1.8577143318
74.93	-1.8624541098
75.93	-1.8570672355
76.93	-1.8659037532
77.93	-1.8609618685
78.93	-1.8652913333
79.93	-1.8602136904
80.92	-1.8391220978
81.91	-1.8315768227
82.92	-1.8027181793
83.92	-1.7878112696
84.92	-1.7705787233
85.92	-1.7377529971
86.92	-1.7074878625
87.91	-1.6820125224
88.90	-1.6498315714
89.90	-1.6301778797
90.91	-1.5972212498
91.91	-1.5609082883
92.91	-1.5346129801
93.91	-1.5060970798
94.91	-1.4778153893
95.90	-1.4505115017
96.90	-1.4128759802
97.90	-1.3826596407
98.90	-1.3528249597
99.90	-1.3304879811
100.91	-1.2965682987
101.90	-1.2670883806
102.90	-1.2195518998
103.91	-1.1858979071
104.90	-1.1521345274
105.90	-1.1337891747
106.90	-1.1132641251
107.91	-1.0913897547
108.91	-1.0716017906
109.90	-1.0671888122
110.90	-1.0295292379
111.90	-1.0018847241
112.90	-0.9695998686
113.91	-0.9426998219
114.90	-0.9039440573
115.90	-0.8697312677
116.90	-0.8306689201
117.90	-0.7941569229
118.91	-0.7453520426
119.90	-0.7010164127
120.91	-0.6590136967
121.91	-0.6146315749
122.90	-0.5630697623
123.90	-0.5256708215
124.90	-0.4853846172
125.90	-0.4358700105
126.90	-0.3971973687
127.90	-0.3678610812
128.91	-0.3338074418
129.90	-0.3067357465
130.91	-0.2824027279
131.90	-0.2459123788
132.90	-0.2190890117
133.90	-0.1877669864
134.90	-0.1720026822
135.90	-0.1426345053
136.91	-0.1345395765
137.91	-0.1115795905
138.90	-0.1035916427
139.91	-0.0834668540
140.91	-0.0801676262
141.92	-0.0621680146
142.93	-0.0585456454
143.92	-0.0477537234
144.93	-0.0417934936
145.93	-0.0371758396
147.04	-0.0295451814
148.04	-0.0240942191
149.03	-0.0152837193
150.03	-0.0139593467
150.94	-0.0094051614
151.93	-0.0083745659
152.90	-0.0024434692
153.91	-0.0075349185
154.90	-0.0017916750
155.91	-0.0031274723
156.91	0.0027162403
157.91	0.0030157425
158.91	0.0039629373
159.90	0.0046681908
160.91	0.0033123114
161.90	0.0119363334
162.90	0.0089886051
163.90	0.0105189757
164.91	0.0040127446
165.91	0.0072837353
166.90	0.0095245053
167.90	0.0105923998
168.91	0.0057893859
169.91	0.0055796305
170.90	0.0023454532
171.91	0.0104138521
172.90	0.0057594618
173.91	0.0163490947
174.91	0.0123071786
175.91	0.0010007203
176.90	0.0046255835
177.91	0.0109727991
178.90	0.0075181188
179.90	0.0028422989
180.91	0.0078150004
181.91	0.0136213475
182.90	0.0175624192
183.90	0.0017181194
184.90	0.0198216666
185.90	-0.0016328298
186.90	0.0045725337
187.90	-0.0094094846
188.90	0.0022245037
189.91	-0.0081122456
190.90	0.0139955166
191.90	-0.0239687788
192.91	-0.0158629541
193.90	0.0015900106
194.90	0.0235003191
195.90	0.0003659731
196.91	0.0049347381
197.90	0.0131450375
198.91	-0.0066591366
199.90	0.0042757221
200.91	0.0219532635
201.90	0.0031495379
202.90	0.0148487828
203.91	-0.0313040330
204.90	-0.0095484731
205.90	-0.0100338844
206.90	0.0026254667
207.90	-0.0067812367
208.90	-0.0063806545
209.90	0.0074167932
210.91	-0.0117038430
211.90	-0.0016567253
212.91	0.0053528461
213.90	0.0196619673
214.90	0.0028826771
215.90	-0.0209136997
216.91	-0.0038753963
217.90	-0.0017873635
218.90	-0.0121200738
219.90	0.0108780035
220.90	-0.0031817368
221.90	-0.0088008542
222.90	-0.0100498441
223.90	-0.0026002541
224.91	-0.0137952146
225.90	0.0076744071
226.90	-0.0009089825
227.90	-0.0011201881
228.91	-0.0112473184
229.90	0.0011383459
230.90	-0.0014401899
231.90	-0.0068961954
232.90	-0.0068877056
233.90	-0.0055371676
234.90	-0.0057872952
235.90	-0.0049134838
236.90	0.0015433637
237.91	0.0071402358
238.91	-0.0006527652
239.90	0.0073706784
240.90	0.0024340132
241.90	-0.0010734444
242.90	0.0109866140
243.90	0.0171237040
244.90	0.0090440354
245.90	0.0131593566
246.90	0.0150931723
247.90	0.0131938577
248.90	0.0111010891
249.91	0.0184850590
250.91	0.0233214759
251.91	0.0201767444
252.91	0.0192873564
253.90	0.0209943165
254.90	0.0170244722
255.90	0.0193844030
256.90	0.0210564236
257.91	0.0219843873
258.90	0.0160406259
259.91	0.0236301960
260.91	0.0116949391
261.90	0.0097714405
